"Numero,Accion,Clasificacion,BotonCorregir,BotonRetroalimentar"
"1,Trabajo en alturas,Condición Insegura,""Revisar sistemas de anclaje y capacitar."",""Recuerda usar arnés y puntos de anclaje seguros."""
"2,Trabajo en alturas,Falla Administrativa,""Actualizar y supervisar permisos."",""Cumple con los procedimientos de seguridad en altura."""
"3,Trabajo en alturas,Acto Inseguro,""Supervisar y corregir el uso incorrecto del arnés."",""El arnés no es opcional; protege tu vida."""
"4,Trabajo en alturas,Conductas inapropiadas en zonas críticas.,""Reubicar y capacitar sobre conducta profesional."",""Mantén máxima concentración en zonas críticas."""
"5,Trabajo en alturas,NO trae gafete visible.,""Implementar control de gafetes."",""Portar gafete ayuda a identificarte en emergencias."""
"6,Trabajo en alturas,Desobediencia de órdenes de seguridad.,""Registrar el incidente y aplicar sanciones."",""Cumplir órdenes protege a todos."""
"7,Trabajo en alturas,EPP incompleto.,""Verificar y completar los equipos de protección personal."",""El EPP completo es esencial para evitar riesgos."""
"8,EPP,Condición Insegura,""Verificar disponibilidad de EPP y realizar inspecciones."",""Sin EPP adecuado, estás expuesto a riesgos graves."""
"9,EPP,Falla Administrativa,""Revisar registros de entrega y distribución de EPP."",""Asegurémonos de que todos reciban su EPP."""
"10,EPP,Acto Inseguro,""Supervisar uso del EPP en tiempo real."",""Cumple con las normas de seguridad."""
"11,EPP,Conductas inapropiadas en zonas críticas.,""Reforzar capacitación en EPP."",""El uso correcto del EPP salva vidas en zonas críticas."""
"12,EPP,NO trae gafete visible.,""Entregar gafetes en puntos de control."",""Portar gafete es obligatorio para identificarnos rápidamente."""
"13,EPP,Desobediencia de órdenes de seguridad.,""Registrar y capacitar sobre normas."",""Cumplir órdenes protege a todos en el área."""
"14,EPP,EPP incompleto.,""Completar el equipo de protección."",""El EPP incompleto no protege adecuadamente. Completa tu equipo siempre."""
"15,Trabajos calientes,Condición Insegura,""Revisar condiciones del área."",""Mantén un ambiente seguro en trabajos calientes."""
"16,Trabajos calientes,Falla Administrativa,""Supervisar permisos y procedimientos."",""Actualiza y revisa los permisos para garantizar seguridad."""
"17,Trabajos calientes,Acto Inseguro,""Capacitar sobre riesgos específicos."",""Entender los riesgos es clave para evitar accidentes."""
"18,Trabajos calientes,Conductas inapropiadas en zonas críticas.,""Reubicar y reforzar normas de conducta."",""Mantén la conducta profesional en áreas críticas."""
"19,Trabajos calientes,NO trae gafete visible.,""Implementar control en puntos de acceso."",""El gafete identifica rápidamente en caso de emergencias."""
"20,Trabajos calientes,Desobediencia de órdenes de seguridad.,""Registrar y escalar a supervisión."",""Cumple órdenes para protegerte y proteger a otros."""
"21,Trabajos calientes,EPP incompleto.,""Completar inmediatamente el EPP."",""El EPP es tu última línea de defensa contra accidentes."""
"22,Espacio confinado,Condición Insegura,""Revisar riesgos antes de ingresar."",""Verifica siempre las condiciones antes de entrar a un espacio confinado."""
"23,Espacio confinado,Falla Administrativa,""Actualizar políticas de ingreso."",""Sigamos los procedimientos establecidos para evitar riesgos."""
"24,Espacio confinado,Acto Inseguro,""Supervisar acciones dentro del espacio."",""Actúa con precaución y sigue las normas en espacios confinados."""
"25,Espacio confinado,Conductas inapropiadas en zonas críticas.,""Reasignar y capacitar en normas."",""La seguridad en espacios críticos depende de mantener conducta adecuada."""
"26,Espacio confinado,NO trae gafete visible.,""Implementar gafetes obligatorios."",""Portar tu gafete es clave para la identificación en emergencias."""
"27,Espacio confinado,Desobediencia de órdenes de seguridad.,""Registrar y capacitar sobre normas."",""Cumple las órdenes para prevenir riesgos graves en espacios confinados."""
"28,Espacio confinado,EPP incompleto.,""Verificar EPP y realizar inspección."",""Siempre usa EPP completo en espacios confinados."""
"29,Trabajos eléctricos,Condición Insegura,""Revisar instalaciones y eliminar riesgos."",""Revisa las condiciones antes de trabajar en instalaciones eléctricas."""
"30,Trabajos eléctricos,Falla Administrativa,""Actualizar procedimientos eléctricos."",""Asegúrate de contar con permisos y procedimientos actualizados."""
"31,Trabajos eléctricos,Acto Inseguro,""Supervisar y capacitar sobre riesgos."",""Sigue los procedimientos de seguridad eléctrica en todo momento."""
"32,Trabajos eléctricos,Conductas inapropiadas en zonas críticas.,""Capacitar sobre comportamiento adecuado."",""Las zonas eléctricas requieren máxima concentración y precaución."""
"33,Trabajos eléctricos,NO trae gafete visible.,""Implementar control en accesos eléctricos."",""Portar gafete asegura un mejor control en áreas críticas."""
"34,Trabajos eléctricos,Desobediencia de órdenes de seguridad.,""Registrar y reforzar cumplimiento."",""Cumplir las órdenes asegura tu seguridad y la del equipo."""
"35,Trabajos eléctricos,EPP incompleto.,""Completar el EPP necesario."",""Sin el EPP adecuado, no puedes trabajar en áreas eléctricas. Completa tu equipo."""
"36,Excavaciones,Condición Insegura,""Evaluar riesgos y reforzar medidas."",""Evalúa y elimina riesgos antes de iniciar excavaciones."""
"37,Excavaciones,Falla Administrativa,""Supervisar permisos y procedimientos."",""Los permisos son clave para garantizar la seguridad en excavaciones."""
"38,Excavaciones,Acto Inseguro,""Capacitar sobre normas de seguridad."",""Las excavaciones requieren máxima atención y cumplimiento de normas."""
"39,Excavaciones,Conductas inapropiadas en zonas críticas.,""Supervisar y reubicar al trabajador."",""Mantén conducta profesional en áreas críticas de excavación."""
"40,Excavaciones,NO trae gafete visible.,""Controlar gafetes en acceso a excavaciones."",""Portar gafete facilita la identificación y control en emergencias."""
"41,Excavaciones,Desobediencia de órdenes de seguridad.,""Registrar y escalar incidentes graves."",""Cumplir órdenes asegura el cumplimiento de los estándares de seguridad."""
"42,Excavaciones,EPP incompleto.,""Verificar EPP completo y realizar inspección previa."",""El EPP completo es obligatorio en excavaciones para protegerte."""
"43,Orden y limpieza,Condición Insegura,""Eliminar obstáculos y limpiar el área."",""La limpieza del área reduce riesgos. Mantén ordenado tu espacio de trabajo."""
"44,Orden y limpieza,Falla Administrativa,""Revisar políticas de limpieza."",""Sigamos políticas claras de orden para garantizar la seguridad."""
"45,Orden y limpieza,Acto Inseguro,""Supervisar cumplimiento de limpieza."",""Un área limpia es un área segura. Mantén ordenado tu espacio."""
"46,Orden y limpieza,Conductas inapropiadas en zonas críticas.,""Reforzar normas de conducta."",""Mantén conducta profesional en áreas de orden crítico."""
"47,Orden y limpieza,NO trae gafete visible.,""Implementar gafetes en áreas clave."",""Portar gafete mejora el control en áreas de limpieza."""
"48,Orden y limpieza,Desobediencia de órdenes de seguridad.,""Registrar incumplimiento y capacitar."",""Cumple las órdenes para garantizar orden y seguridad en el área."""
"49,Orden y limpieza,EPP incompleto.,""Completar equipo de protección necesario."",""El EPP es esencial para protegerte mientras trabajas en áreas de limpieza."""
